https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1639540800000,2021-12-15 04:00:00,LTC/USD,150.22,155.06,141.77,153.34,54689.2885,8386055.498590001
1639454400000,2021-12-14 04:00:00,LTC/USD,145.82,151.78,143.36,150.22,18823.81866,2827714.0391052
1639368000000,2021-12-13 04:00:00,LTC/USD,154.64,156.51,142.35,145.82,33943.26907,4949607.4957874
1639281600000,2021-12-12 04:00:00,LTC/USD,156.4,162.97,152.98,154.64,20784.5473,3214122.3944719993
1639195200000,2021-12-11 04:00:00,LTC/USD,151.83,159.54,151.47,156.4,28208.60411,4411825.682804001
1639108800000,2021-12-10 04:00:00,LTC/USD,153.96,156.75,145.83,151.83,14562.23301,2210983.8379083
1639022400000,2021-12-09 04:00:00,LTC/USD,159.76,159.76,151.04,153.96,7985.3345,1229422.09962
1638936000000,2021-12-08 04:00:00,LTC/USD,160.1,170.25,156.24,159.76,92516.43347,14780425.4111672
1638849600000,2021-12-07 04:00:00,LTC/USD,160.26,165.92,154.94,160.1,29973.8662531,4798815.98712131
1638763200000,2021-12-06 04:00:00,LTC/USD,154.71,164.59,141.55,160.26,53174.7589452,8521786.868557751
1638676800000,2021-12-05 04:00:00,LTC/USD,162.12,162.73,148.38,154.71,78018.3778191,12070223.232392961
1638590400000,2021-12-04 04:00:00,LTC/USD,175.97,181.81,130.0,162.12,174321.8379124,28261056.362358287
1638504000000,2021-12-03 04:00:00,LTC/USD,200.33,208.18,175.93,175.97,61821.874544,10878795.26350768
1638417600000,2021-12-02 04:00:00,LTC/USD,202.57,207.43,198.56,200.33,11336.8721645,2271115.6007142854
1638331200000,2021-12-01 04:00:00,LTC/USD,212.78,217.31,200.28,202.57,10777.2465505,2183146.8337347847
1638244800000,2021-11-30 04:00:00,LTC/USD,203.62,220.03,197.82,212.78,35353.5817716,7522535.129361048
1638158400000,2021-11-29 04:00:00,LTC/USD,199.01,210.55,195.59,203.62,43401.7342349,8837461.124910338
1638072000000,2021-11-28 04:00:00,LTC/USD,189.31,202.96,182.51,199.01,33732.5445801,6713113.696885701
1637985600000,2021-11-27 04:00:00,LTC/USD,198.13,200.41,183.96,189.31,22361.6614952,4233286.137656312
1637899200000,2021-11-26 04:00:00,LTC/USD,216.23,217.89,190.33,198.13,100357.2099185,19883774.001152404
1637812800000,2021-11-25 04:00:00,LTC/USD,219.91,229.81,214.47,216.23,33019.1466385,7139730.077642855
1637726400000,2021-11-24 04:00:00,LTC/USD,210.58,223.16,206.19,219.91,26878.207685,5910786.65200835
1637640000000,2021-11-23 04:00:00,LTC/USD,210.68,218.82,205.32,210.58,21184.6313137,4461059.6620389465
