https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1640318400000,2021-12-24 04:00:00,DOGE/USD,0.18303,0.19555,0.17956,0.18736,29306835.843733,5490928.763681815
1640232000000,2021-12-23 04:00:00,DOGE/USD,0.17454,0.18531,0.17367,0.18303,26062069.645441,4770140.607205066
1640145600000,2021-12-22 04:00:00,DOGE/USD,0.1723,0.17722,0.17136,0.17454,5348328.584612,933497.2711581785
1640059200000,2021-12-21 04:00:00,DOGE/USD,0.16994,0.17325,0.16801,0.1723,9297171.432289,1601902.637783395
1639972800000,2021-12-20 04:00:00,DOGE/USD,0.16992,0.17083,0.16122,0.16994,14622656.872144,2484974.3088521515
1639886400000,2021-12-19 04:00:00,DOGE/USD,0.17278,0.17465,0.16762,0.16992,6289200.796388,1068660.9993222489
1639800000000,2021-12-18 04:00:00,DOGE/USD,0.1697,0.1758,0.16889,0.17278,15833261.489989,2735670.9202402993
1639713600000,2021-12-17 04:00:00,DOGE/USD,0.17441,0.18145,0.16158,0.1697,21163679.846172,3591476.4698953885
1639627200000,2021-12-16 04:00:00,DOGE/USD,0.18073,0.18073,0.17239,0.17441,1619210.77991,282406.5521241031
1639540800000,2021-12-15 04:00:00,DOGE/USD,0.18382,0.18615,0.17062,0.18073,38742705.627705,7001969.188095124
1639454400000,2021-12-14 04:00:00,DOGE/USD,0.15732,0.22018,0.155,0.18382,241550886.091,44401883.88124762
1639368000000,2021-12-13 04:00:00,DOGE/USD,0.1652,0.16639,0.15175,0.15732,15753513.066793,2478342.6756678745
1639281600000,2021-12-12 04:00:00,DOGE/USD,0.16814,0.17376,0.16336,0.1652,12194511.409773,2014533.2848944997
1639195200000,2021-12-11 04:00:00,DOGE/USD,0.16518,0.17001,0.16458,0.16814,7414310.126399,1246642.104652728
1639108800000,2021-12-10 04:00:00,DOGE/USD,0.17151,0.17284,0.16142,0.16518,11889220.807386,1963861.4929640193
1639022400000,2021-12-09 04:00:00,DOGE/USD,0.17708,0.17708,0.16909,0.17151,4320898.093652,741077.2320422544
1638936000000,2021-12-08 04:00:00,DOGE/USD,0.17691,0.18228,0.1727,0.17708,11398475.308125,2018442.007562775
1638849600000,2021-12-07 04:00:00,DOGE/USD,0.17948,0.18416,0.17356,0.17691,27721567.41323567,4904222.491075523
1638763200000,2021-12-06 04:00:00,DOGE/USD,0.17147,0.18441,0.15973,0.17948,61870653.23728486,11104544.843027888
1638676800000,2021-12-05 04:00:00,DOGE/USD,0.17902,0.181,0.16257,0.17147,24712245.14323205,4237408.67471
1638590400000,2021-12-04 04:00:00,DOGE/USD,0.19018,0.19361,0.12941,0.17902,114686632.49819022,20531200.949826017
1638504000000,2021-12-03 04:00:00,DOGE/USD,0.20737,0.21222,0.19,0.19018,21911882.05138361,4167201.728532135
1638417600000,2021-12-02 04:00:00,DOGE/USD,0.20425,0.21316,0.20425,0.20737,4462660.66321377,925421.9417306394
1638331200000,2021-12-01 04:00:00,DOGE/USD,0.21657,0.21657,0.20174,0.20425,5400503.03429581,1103052.7447549193
1638244800000,2021-11-30 04:00:00,DOGE/USD,0.22149,0.2276,0.21293,0.21657,21214425.22020897,4594408.069940656
1638158400000,2021-11-29 04:00:00,DOGE/USD,0.20554,0.2253,0.20299,0.22149,31314492.75462314,6935847.00022148
1638072000000,2021-11-28 04:00:00,DOGE/USD,0.1995,0.20894,0.19182,0.20554,9064509.0200848,1863119.1839882298
1637985600000,2021-11-27 04:00:00,DOGE/USD,0.2053,0.20962,0.19689,0.1995,9886749.12646174,1972406.4507291173
1637899200000,2021-11-26 04:00:00,DOGE/USD,0.21879,0.21879,0.18893,0.2053,47968579.6609989,9847949.404403076
1637812800000,2021-11-25 04:00:00,DOGE/USD,0.21969,0.22953,0.215,0.21879,11130053.07256126,2435144.311745678
1637726400000,2021-11-24 04:00:00,DOGE/USD,0.2232,0.2251,0.21149,0.21969,12063935.77909739,2650326.0513099055
1637640000000,2021-11-23 04:00:00,DOGE/USD,0.22271,0.23696,0.21403,0.2232,14776961.12623721,3298217.7233761456
1637553600000,2021-11-22 04:00:00,DOGE/USD,0.22245,0.22763,0.217,0.22271,5883716.51395977,1310362.5048239804
1637467200000,2021-11-21 04:00:00,DOGE/USD,0.2289,0.23164,0.22082,0.22245,4972561.06917626,1106146.2098382593
1637380800000,2021-11-20 04:00:00,DOGE/USD,0.2336,0.23569,0.22584,0.2289,5536729.22888673,1267357.3204921724
1637294400000,2021-11-19 04:00:00,DOGE/USD,0.21863,0.23756,0.21863,0.2336,6723746.56790207,1570667.1982619234
1637208000000,2021-11-18 04:00:00,DOGE/USD,0.23756,0.23756,0.21586,0.21863,10213493.12796785,2232976.0025676107
1637121600000,2021-11-17 04:00:00,DOGE/USD,0.23277,0.24163,0.23048,0.23756,4735523.40850653,1124970.9409248114
1637035200000,2021-11-16 04:00:00,DOGE/USD,0.24702,0.24932,0.22381,0.23277,15757640.36288122,3667905.947267862
1636948800000,2021-11-15 04:00:00,DOGE/USD,0.26226,0.26466,0.24371,0.24702,12442106.95155215,3073449.259172412
1636862400000,2021-11-14 04:00:00,DOGE/USD,0.26115,0.2718,0.25974,0.26226,9797303.62045293,2569440.8474999852
1636776000000,2021-11-13 04:00:00,DOGE/USD,0.25645,0.2633,0.2544,0.26115,6514622.68097628,1701293.7131369554
1636689600000,2021-11-12 04:00:00,DOGE/USD,0.26573,0.26573,0.25527,0.25645,3922604.73018669,1005951.9830563767
1636603200000,2021-11-11 04:00:00,DOGE/USD,0.26177,0.27135,0.25656,0.26573,10767690.88070448,2861298.4977296013
1636516800000,2021-11-10 04:00:00,DOGE/USD,0.2705,0.27718,0.23667,0.26177,26168266.4039318,6850067.096557227
1636430400000,2021-11-09 04:00:00,DOGE/USD,0.28361,0.29049,0.26876,0.2705,10396762.81179381,2812324.3405902255
1636344000000,2021-11-08 04:00:00,DOGE/USD,0.26959,0.29745,0.26954,0.28361,25240453.0539333,7158444.890626023
1636257600000,2021-11-07 04:00:00,DOGE/USD,0.26255,0.27419,0.25888,0.26959,8367796.42064121,2255874.2370406636
1636171200000,2021-11-06 04:00:00,DOGE/USD,0.26371,0.26548,0.2506,0.26255,15585727.02011096,4092032.6291301325
1636084800000,2021-11-05 04:00:00,DOGE/USD,0.26193,0.27076,0.25692,0.26371,21139071.56586171,5574584.5626333915
1635998400000,2021-11-04 04:00:00,DOGE/USD,0.26968,0.26968,0.25445,0.26193,14307213.17475549,3747488.346863705
1635912000000,2021-11-03 04:00:00,DOGE/USD,0.27165,0.27748,0.2628,0.26968,26217961.11603651,7070459.753772725
1635825600000,2021-11-02 04:00:00,DOGE/USD,0.2705,0.28092,0.26994,0.27165,33177624.32019376,9012701.646580635
1635739200000,2021-11-01 04:00:00,DOGE/USD,0.26617,0.28107,0.26385,0.2705,44749142.1413672,12104642.949239828
1635652800000,2021-10-31 04:00:00,DOGE/USD,0.26754,0.2865,0.25232,0.26617,65635385.98307864,17470170.687116046
1635566400000,2021-10-30 04:00:00,DOGE/USD,0.28492,0.28492,0.26108,0.26754,12616643.02496914,3375456.6749002435
1635480000000,2021-10-29 04:00:00,DOGE/USD,0.2939,0.30025,0.27623,0.28492,60152622.26707253,17138685.136334304
1635393600000,2021-10-28 04:00:00,DOGE/USD,0.23582,0.34002,0.23476,0.2939,294315432.00970596,86499305.46765257
1635307200000,2021-10-27 04:00:00,DOGE/USD,0.25901,0.25901,0.23188,0.23582,3746771.60029348,883563.6787812085
1635220800000,2021-10-26 04:00:00,DOGE/USD,0.26446,0.27403,0.25233,0.25901,27429017.0484824,7104389.705727426
1635134400000,2021-10-25 04:00:00,DOGE/USD,0.2684,0.27326,0.25849,0.26446,37030256.83370526,9793021.722241692
1635048000000,2021-10-24 04:00:00,DOGE/USD,0.25009,0.28313,0.24599,0.2684,82305974.26908557,22090923.49382257
1634961600000,2021-10-23 04:00:00,DOGE/USD,0.24604,0.25389,0.24125,0.25009,25472408.72293231,6370394.697518141
1634875200000,2021-10-22 04:00:00,DOGE/USD,0.24529,0.25291,0.235,0.24604,23356817.43500959,5746711.3617097605
1634788800000,2021-10-21 04:00:00,DOGE/USD,0.25259,0.25755,0.24058,0.24529,30210027.69750962,7410217.693922135
1634702400000,2021-10-20 04:00:00,DOGE/USD,0.24288,0.26178,0.24288,0.25259,33763816.17453904,8528402.327526815
1634616000000,2021-10-19 04:00:00,DOGE/USD,0.25473,0.25473,0.24041,0.24288,20627197.51782572,5009933.733129511
1634529600000,2021-10-18 04:00:00,DOGE/USD,0.23787,0.2724,0.23746,0.25473,70703686.51485136,18010350.065928087
1634443200000,2021-10-17 04:00:00,DOGE/USD,0.237,0.24225,0.22525,0.23787,20552548.22049293,4888834.645208653
1634356800000,2021-10-16 04:00:00,DOGE/USD,0.2365,0.2443,0.23392,0.237,17221491.2977734,4081493.4375722953
1634270400000,2021-10-15 04:00:00,DOGE/USD,0.23364,0.24542,0.22436,0.2365,40311948.71487291,9533775.871067444
1634184000000,2021-10-14 04:00:00,DOGE/USD,0.23635,0.23635,0.22743,0.23364,4537179.46914754,1060066.6111716311
1634097600000,2021-10-13 04:00:00,DOGE/USD,0.22914,0.2403,0.22063,0.23635,11829244.30715117,2795841.891995179
1634011200000,2021-10-12 04:00:00,DOGE/USD,0.22362,0.2298,0.21624,0.22914,14957139.70828856,3427278.992757241
1633924800000,2021-10-11 04:00:00,DOGE/USD,0.23596,0.23596,0.22229,0.22362,5708928.53591737,1276630.5992018422
1633838400000,2021-10-10 04:00:00,DOGE/USD,0.24495,0.24848,0.22609,0.23596,15144006.74683588,3573379.8319833945
1633752000000,2021-10-09 04:00:00,DOGE/USD,0.24625,0.25262,0.24239,0.24495,9912425.64341109,2428048.6613535467
1633665600000,2021-10-08 04:00:00,DOGE/USD,0.24395,0.25476,0.24109,0.24625,22218408.9252669,5471283.197846974
1633579200000,2021-10-07 04:00:00,DOGE/USD,0.24009,0.25673,0.23951,0.24395,19408206.39118435,4734631.949129422
1633492800000,2021-10-06 04:00:00,DOGE/USD,0.25429,0.26104,0.23577,0.24009,20629569.81961847,4952953.417992199
