https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1641700800000,2022-01-09 04:00:00,DOGE/BTC,3.62e-06,3.64e-06,3.58e-06,3.59e-06,32489.14347532,0.11663602507639881
1641614400000,2022-01-08 04:00:00,DOGE/BTC,3.74e-06,3.77e-06,3.59e-06,3.62e-06,195432.12966135,0.707464309374087
1641528000000,2022-01-07 04:00:00,DOGE/BTC,3.66e-06,3.74e-06,3.64e-06,3.74e-06,82636.64908977,0.3090610675957398
1641441600000,2022-01-06 04:00:00,DOGE/BTC,3.61e-06,3.72e-06,3.61e-06,3.66e-06,81665.47815713,0.2988956500550958
1641355200000,2022-01-05 04:00:00,DOGE/BTC,3.66e-06,3.67e-06,3.46e-06,3.61e-06,148197.19926463,0.5349918893453144
1641268800000,2022-01-04 04:00:00,DOGE/BTC,3.67e-06,3.69e-06,3.62e-06,3.66e-06,70370.89041281,0.2575574589108846
1641182400000,2022-01-03 04:00:00,DOGE/BTC,3.67e-06,3.69e-06,3.62e-06,3.67e-06,150504.1831792,0.5523503522676639
1641096000000,2022-01-02 04:00:00,DOGE/BTC,3.65e-06,3.7e-06,3.64e-06,3.67e-06,23093.72731692,0.08475397925309641
1641009600000,2022-01-01 04:00:00,DOGE/BTC,3.66e-06,3.66e-06,3.63e-06,3.65e-06,47296.2561359,0.17263133489603502
1640923200000,2021-12-31 04:00:00,DOGE/BTC,3.63e-06,3.69e-06,3.58e-06,3.66e-06,160898.43811858,0.5888882835140028
1640836800000,2021-12-30 04:00:00,DOGE/BTC,3.62e-06,3.7e-06,3.61e-06,3.63e-06,110456.02885266,0.4009553847351558
1640750400000,2021-12-29 04:00:00,DOGE/BTC,3.68e-06,3.7e-06,3.58e-06,3.62e-06,67736.63404462,0.24520661524152443
1640664000000,2021-12-28 04:00:00,DOGE/BTC,3.63e-06,3.7e-06,3.61e-06,3.68e-06,35147.09289279,0.12934130184546722
1640577600000,2021-12-27 04:00:00,DOGE/BTC,3.74e-06,3.77e-06,3.61e-06,3.63e-06,59591.79583324,0.2163182188746612
1640491200000,2021-12-26 04:00:00,DOGE/BTC,3.74e-06,3.79e-06,3.73e-06,3.74e-06,42751.50051251,0.1598906119167874
1640404800000,2021-12-25 04:00:00,DOGE/BTC,3.69e-06,3.83e-06,3.69e-06,3.74e-06,80530.05554812,0.3011824077499688
1640318400000,2021-12-24 04:00:00,DOGE/BTC,3.59e-06,3.81e-06,3.54e-06,3.69e-06,55250.21010058,0.2038732752711402
1640232000000,2021-12-23 04:00:00,DOGE/BTC,3.6e-06,3.72e-06,3.56e-06,3.59e-06,67142.15924443,0.2410403516875037
1640145600000,2021-12-22 04:00:00,DOGE/BTC,3.49e-06,3.61e-06,3.49e-06,3.6e-06,6148.37990561,0.022134167660196
1640059200000,2021-12-21 04:00:00,DOGE/BTC,3.54e-06,3.55e-06,3.47e-06,3.49e-06,184265.02799674,0.6430849477086227
1639972800000,2021-12-20 04:00:00,DOGE/BTC,3.64e-06,3.64e-06,3.51e-06,3.54e-06,72517.42505168,0.2567116846829472
1639886400000,2021-12-19 04:00:00,DOGE/BTC,3.62e-06,3.65e-06,3.6e-06,3.64e-06,37266.10438187,0.1356486199500068
1639800000000,2021-12-18 04:00:00,DOGE/BTC,3.67e-06,3.74e-06,3.61e-06,3.62e-06,507048.84330243,1.8355168127547967
1639713600000,2021-12-17 04:00:00,DOGE/BTC,3.65e-06,3.72e-06,3.54e-06,3.67e-06,99908.3571609,0.36666367078050305
1639627200000,2021-12-16 04:00:00,DOGE/BTC,3.7e-06,3.7e-06,3.62e-06,3.65e-06,45351.65520275,0.16553354149003752
1639540800000,2021-12-15 04:00:00,DOGE/BTC,3.8e-06,3.8e-06,3.66e-06,3.7e-06,121620.01671574,0.44999406184823804
1639454400000,2021-12-14 04:00:00,DOGE/BTC,3.35e-06,4.59e-06,3.34e-06,3.8e-06,1270931.96023529,4.829541448894102
1639368000000,2021-12-13 04:00:00,DOGE/BTC,3.38e-06,3.4e-06,3.3e-06,3.35e-06,489898.26598371,1.6411591910454286
1639281600000,2021-12-12 04:00:00,DOGE/BTC,3.42e-06,3.47e-06,3.36e-06,3.38e-06,70322.29451748,0.23768935546908238
1639195200000,2021-12-11 04:00:00,DOGE/BTC,3.42e-06,3.49e-06,3.39e-06,3.42e-06,52830.66769939,0.18068088353191378
1639108800000,2021-12-10 04:00:00,DOGE/BTC,3.52e-06,3.55e-06,3.42e-06,3.42e-06,64209.94183136,0.2195980010632512
1639022400000,2021-12-09 04:00:00,DOGE/BTC,3.57e-06,3.62e-06,3.52e-06,3.52e-06,21164.39333838,0.0744986645510976
1638936000000,2021-12-08 04:00:00,DOGE/BTC,3.55e-06,3.6e-06,3.52e-06,3.57e-06,62202.24919651,0.2220620296315407
1638849600000,2021-12-07 04:00:00,DOGE/BTC,3.52e-06,3.55e-06,3.44e-06,3.55e-06,76952.09244603,0.2731799281834065
1638763200000,2021-12-06 04:00:00,DOGE/BTC,3.48e-06,3.58e-06,3.4e-06,3.52e-06,597934.38865678,2.104729048071866
1638676800000,2021-12-05 04:00:00,DOGE/BTC,3.63e-06,3.66e-06,3.41e-06,3.48e-06,79028.28455074,0.27501843023657524
1638590400000,2021-12-04 04:00:00,DOGE/BTC,3.65e-06,3.83e-06,3.1e-06,3.63e-06,231133.94700477,0.8390162276273151
1638504000000,2021-12-03 04:00:00,DOGE/BTC,3.68e-06,3.74e-06,3.65e-06,3.65e-06,118419.79755546,0.432232261077429
1638417600000,2021-12-02 04:00:00,DOGE/BTC,3.62e-06,3.74e-06,3.62e-06,3.68e-06,484114.23819195,1.781540396546376
1638331200000,2021-12-01 04:00:00,DOGE/BTC,3.77e-06,3.77e-06,3.62e-06,3.62e-06,56456.80888198,0.20437364815276762
1638244800000,2021-11-30 04:00:00,DOGE/BTC,3.95e-06,3.96e-06,3.74e-06,3.77e-06,274532.57366773,1.034987802727342
1638158400000,2021-11-29 04:00:00,DOGE/BTC,3.59e-06,3.95e-06,3.56e-06,3.95e-06,114401.95769105,0.45188773287964756
1638072000000,2021-11-28 04:00:00,DOGE/BTC,3.68e-06,3.7e-06,3.56e-06,3.59e-06,158144.77218723,0.5677397321521557
1637985600000,2021-11-27 04:00:00,DOGE/BTC,3.78e-06,3.81e-06,3.67e-06,3.68e-06,85972.99906807,0.3163806365704976
1637899200000,2021-11-26 04:00:00,DOGE/BTC,3.77e-06,3.81e-06,3.4e-06,3.78e-06,157779.66041129,0.5964071163546762
1637812800000,2021-11-25 04:00:00,DOGE/BTC,3.8e-06,3.89e-06,3.72e-06,3.77e-06,68184.84369556,0.2570568607322612
1637726400000,2021-11-24 04:00:00,DOGE/BTC,3.95e-06,3.97e-06,3.75e-06,3.8e-06,67653.92294125,0.25708490717675
1637640000000,2021-11-23 04:00:00,DOGE/BTC,3.89e-06,4.13e-06,3.83e-06,3.95e-06,317181.64662187,1.2528675041563866
1637553600000,2021-11-22 04:00:00,DOGE/BTC,3.87e-06,3.91e-06,3.82e-06,3.89e-06,55732.64050203,0.2167999715528967
1637467200000,2021-11-21 04:00:00,DOGE/BTC,3.89e-06,3.92e-06,3.84e-06,3.87e-06,92574.24141263,0.3582623142668781
1637380800000,2021-11-20 04:00:00,DOGE/BTC,3.97e-06,4e-06,3.87e-06,3.89e-06,139885.7587822,0.544155601662758
1637294400000,2021-11-19 04:00:00,DOGE/BTC,3.9e-06,4.12e-06,3.9e-06,3.97e-06,106574.71601603,0.4231016225836391
1637208000000,2021-11-18 04:00:00,DOGE/BTC,3.97e-06,3.97e-06,3.81e-06,3.9e-06,48184.2707251,0.18791865582789
1637121600000,2021-11-17 04:00:00,DOGE/BTC,3.94e-06,3.99e-06,3.91e-06,3.97e-06,925460.8605696798,3.6740796164616287
1637035200000,2021-11-16 04:00:00,DOGE/BTC,4.04e-06,4.07e-06,3.85e-06,3.94e-06,362876.7895641087,1.4297345508825885
1636948800000,2021-11-15 04:00:00,DOGE/BTC,3.99e-06,4.06e-06,3.98e-06,4.04e-06,291873.84289896,1.1791703253117984
1636862400000,2021-11-14 04:00:00,DOGE/BTC,4.05e-06,4.23e-06,3.96e-06,3.99e-06,147051.60377909,0.586735899078569
1636776000000,2021-11-13 04:00:00,DOGE/BTC,4.01e-06,4.1e-06,3.98e-06,4.05e-06,78269.5227585441,0.31699156717210364
1636689600000,2021-11-12 04:00:00,DOGE/BTC,4.1e-06,4.1e-06,3.94e-06,4.01e-06,14748.29683616,0.059140670313001596
1636603200000,2021-11-11 04:00:00,DOGE/BTC,4.05e-06,4.15e-06,3.98e-06,4.1e-06,233795.8207190971,0.958562864948298
1636516800000,2021-11-10 04:00:00,DOGE/BTC,4.07e-06,4.1e-06,3.79e-06,4.05e-06,425648.745025851,1.7238774173546967
1636430400000,2021-11-09 04:00:00,DOGE/BTC,4.16e-06,4.26e-06,4.03e-06,4.07e-06,367633.4829878138,1.4962682757604022
1636344000000,2021-11-08 04:00:00,DOGE/BTC,4.12e-06,4.5e-06,4.11e-06,4.16e-06,602315.9160659919,2.505634210834526
1636257600000,2021-11-07 04:00:00,DOGE/BTC,4.23e-06,4.33e-06,4.11e-06,4.12e-06,98666.9068048007,0.40650765603577893
1636171200000,2021-11-06 04:00:00,DOGE/BTC,4.3e-06,4.33e-06,4.18e-06,4.23e-06,176770.5155153226,0.7477392806298147
1636084800000,2021-11-05 04:00:00,DOGE/BTC,4.22e-06,4.37e-06,4.19e-06,4.3e-06,315100.3884365283,1.3549316702770717
1635998400000,2021-11-04 04:00:00,DOGE/BTC,4.3e-06,4.3e-06,4.17e-06,4.22e-06,622801.56575743,2.628222607496355
1635912000000,2021-11-03 04:00:00,DOGE/BTC,4.31e-06,4.44e-06,4.24e-06,4.3e-06,191647.1280036671,0.8240826504157687
1635825600000,2021-11-02 04:00:00,DOGE/BTC,4.41e-06,4.5e-06,4.25e-06,4.31e-06,389558.37185025,1.6789965826745776
1635739200000,2021-11-01 04:00:00,DOGE/BTC,4.45e-06,4.48e-06,4.36e-06,4.41e-06,251662.9060557468,1.1098334157058434
1635652800000,2021-10-31 04:00:00,DOGE/BTC,4.33e-06,4.7e-06,4.24e-06,4.45e-06,505751.964414014,2.2505962416423624
1635566400000,2021-10-30 04:00:00,DOGE/BTC,4.63e-06,4.63e-06,4.2e-06,4.33e-06,100087.7516786855,0.4333799647687082
1635480000000,2021-10-29 04:00:00,DOGE/BTC,4.76e-06,4.85e-06,4.55e-06,4.63e-06,433939.4711891124,2.0091397516055904
1635393600000,2021-10-28 04:00:00,DOGE/BTC,0.0,5.57e-06,0.0,4.76e-06,828373.8601711248,3.943059574414554
